0	1
0	2
0	3
0	4
0	5
1	0
1	2
1	13
1	14
1	15
2	0
2	1
2	4
2	5
2	16
3	70
3	71
3	72
3	73
3	74
4	7
4	17
4	18
4	19
4	20
5	6
5	7
5	8
5	9
5	10
6	5
6	7
6	8
6	9
6	21
7	5
7	8
7	9
7	11
7	12
8	6
8	11
8	22
8	23
8	24
9	5
9	6
9	7
9	8
9	11
10	5
10	7
10	166
10	167
10	168
11	8
11	9
11	25
11	26
11	27
12	7
12	8
12	22
12	28
12	29
13	1
14	75
14	76
14	77
14	78
14	79
15	299
15	300
15	301
15	302
15	303
16	80
16	81
16	82
16	83
16	84
17	4
17	7
17	20
17	85
17	87
18	6
18	7
18	8
18	11
18	30
19	31
19	32
19	33
19	34
19	35
20	4
20	17
20	85
20	86
20	87
21	6
21	7
21	8
21	11
21	304
22	8
22	11
22	12
22	21
22	28
22	211
22	615
22	1315
22	2722
22	3966
23	6
23	8
23	36
23	37
23	38
24	8
24	39
24	40
24	41
24	42
25	11
25	26
25	305
25	306
25	307
26	8
26	11
26	21
26	25
26	305
26	306
26	307
26	422
26	564
26	615
27	9
27	11
27	26
27	88
27	89
28	7
28	8
28	12
28	22
28	29
29	7
29	12
29	28
29	211
29	308
30	9
30	18
30	90
30	91
30	92
31	5
31	19
31	33
31	43
31	169
32	48
32	97
32	98
32	99
32	139
32	161
32	203
32	335
32	636
32	954
33	19
33	31
33	43
33	44
33	45
34	19
34	32
34	46
34	47
34	48
35	19
35	169
35	170
35	171
35	172
36	6
36	8
36	49
36	50
36	51
37	23
37	38
37	40
37	309
