"ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME",
"01A","Afognak Lake, AK","A43","Kodiak Island, AK",
"06A","Kizhuyak, AK","A43","Kodiak Island, AK",
"06A","Kizhuyak, AK","A43","Kodiak Island, AK",
"09A","Homer, AK","OLH","Old Harbor, AK",
"09A","Homer, AK","ORI","Port Lions, AK",
"09A","Homer, AK","ADQ","Kodiak, AK",
"09A","Homer, AK","ADQ","Kodiak, AK",
"1G4","Peach Springs, AZ","BLD","Boulder City, NV",
"7AK","Akun, AK","KQA","Akutan, AK",
"7AK","Akun, AK","KQA","Akutan, AK",
"7AK","Akun, AK","CDB","Cold Bay, AK",
"7AK","Akun, AK","AKN","King Salmon, AK",
"7AK","Akun, AK","DUT","Unalaska, AK",
"7AK","Akun, AK","DUT","Unalaska, AK",
"A04","Red Lake, AK","KKL","Karluk Lake, AK",
"A04","Red Lake, AK","A43","Kodiak Island, AK",
"A04","Red Lake, AK","A43","Kodiak Island, AK",
"A1K","Deadhorse1, AK","SCC","Deadhorse, AK",
"A1K","Deadhorse1, AK","A1K","Deadhorse1, AK",
"A20","Alpine, AK","SCC","Deadhorse, AK",
"A20","Alpine, AK","ANC","Anchorage, AK",
"A27","Pogo Mines, AK","FAI","Fairbanks, AK",
"A29","Kiluda Bay, AK","A43","Kodiak Island, AK",
"A29","Kiluda Bay, AK","A43","Kodiak Island, AK",
"A43","Kodiak Island, AK","AOS","Amook Bay, AK",
"A43","Kodiak Island, AK","KKB","Kitoi Bay, AK",
"A43","Kodiak Island, AK","KOY","Olga Bay, AK",
"A43","Kodiak Island, AK","KPY","Port Bailey, AK",
"A43","Kodiak Island, AK","KWP","West Point, AK",
"A43","Kodiak Island, AK","A43","Kodiak Island, AK",
"A43","Kodiak Island, AK","KKL","Karluk Lake, AK",
"A43","Kodiak Island, AK","06A","Kizhuyak, AK",
"A43","Kodiak Island, AK","A04","Red Lake, AK",
"A43","Kodiak Island, AK","A29","Kiluda Bay, AK",
"A43","Kodiak Island, AK","A70","Village Islands, AK",
"A43","Kodiak Island, AK","A87","Carry Inlet, AK",
"A43","Kodiak Island, AK","AOS","Amook Bay, AK",
"A43","Kodiak Island, AK","DGB","Danger Bay, AK",
"A43","Kodiak Island, AK","KOY","Olga Bay, AK",
"A43","Kodiak Island, AK","KYK","Karluk, AK",
"A43","Kodiak Island, AK","ONN","Onion Bay, AK",
"A43","Kodiak Island, AK","SYB","Seal Bay, AK",
"A43","Kodiak Island, AK","ORI","Port Lions, AK",
"A43","Kodiak Island, AK","KKL","Karluk Lake, AK",
"A43","Kodiak Island, AK","01A","Afognak Lake, AK",
"A43","Kodiak Island, AK","06A","Kizhuyak, AK",
"A43","Kodiak Island, AK","A04","Red Lake, AK",
"A43","Kodiak Island, AK","A29","Kiluda Bay, AK",
"A43","Kodiak Island, AK","A50","Big Bay, AK",
"A43","Kodiak Island, AK","A65","Karluk Portage, AK",
"A43","Kodiak Island, AK","A87","Carry Inlet, AK",
"A43","Kodiak Island, AK","ALZ","Lazy Bay, AK",
"A43","Kodiak Island, AK","AOS","Amook Bay, AK",
"A43","Kodiak Island, AK","DGB","Danger Bay, AK",
"A43","Kodiak Island, AK","KKB","Kitoi Bay, AK",
"A43","Kodiak Island, AK","KLN","Larsen Bay, AK",
"A43","Kodiak Island, AK","KOY","Olga Bay, AK",
"A43","Kodiak Island, AK","KOZ","Ouzinkie, AK",
"A43","Kodiak Island, AK","ONN","Onion Bay, AK",
"A43","Kodiak Island, AK","SYB","Seal Bay, AK",
"A43","Kodiak Island, AK","UGI","Uganik, AK",
"A43","Kodiak Island, AK","WQX","Kiavak, AK",
"A50","Big Bay, AK","A43","Kodiak Island, AK",
"A65","Karluk Portage, AK","A43","Kodiak Island, AK",
"A70","Village Islands, AK","A43","Kodiak Island, AK",
"A76","Red Fox Bay, AK","A43","Kodiak Island, AK",
"A87","Carry Inlet, AK","A43","Kodiak Island, AK",
"A87","Carry Inlet, AK","A43","Kodiak Island, AK",
"ABE","Allentown/Bethlehem/Easton, PA","ATL","Atlanta, GA",
"ABE","Allentown/Bethlehem/Easton, PA","ORD","Chicago, IL",
"ABE","Allentown/Bethlehem/Easton, PA","CLT","Charlotte, NC",
"ABE","Allentown/Bethlehem/Easton, PA","CLT","Charlotte, NC",
"ABE","Allentown/Bethlehem/Easton, PA","AFW","Dallas/Fort Worth, TX",
"ABE","Allentown/Bethlehem/Easton, PA","SMF","Sacramento, CA",
"ABE","Allentown/Bethlehem/Easton, PA","RFD","Rockford, IL",
"ABE","Allentown/Bethlehem/Easton, PA","AFW","Dallas/Fort Worth, TX",
"ABE","Allentown/Bethlehem/Easton, PA","MDT","Harrisburg, PA",
"ABE","Allentown/Bethlehem/Easton, PA","MEM","Memphis, TN",
"ABE","Allentown/Bethlehem/Easton, PA","IND","Indianapolis, IN",
"ABE","Allentown/Bethlehem/Easton, PA","PIE","St. Petersburg, FL",
"ABE","Allentown/Bethlehem/Easton, PA","PGD","Punta Gorda, FL",
"ABE","Allentown/Bethlehem/Easton, PA","MYR","Myrtle Beach, SC",
"ABE","Allentown/Bethlehem/Easton, PA","SFB","Sanford, FL",
"ABE","Allentown/Bethlehem/Easton, PA","BNA","Nashville, TN",
"ABE","Allentown/Bethlehem/Easton, PA","PIE","St. Petersburg, FL",
"ABE","Allentown/Bethlehem/Easton, PA","FLL","Fort Lauderdale, FL",
"ABE","Allentown/Bethlehem/Easton, PA","SRQ","Sarasota/Bradenton, FL",
"ABE","Allentown/Bethlehem/Easton, PA","ORD","Chicago, IL",
"ABE","Allentown/Bethlehem/Easton, PA","DTW","Detroit, MI",
"ABE","Allentown/Bethlehem/Easton, PA","CAK","Akron, OH",
"ABE","Allentown/Bethlehem/Easton, PA","UTM","Tunica, MS",
"ABI","Abilene, TX","DFW","Dallas/Fort Worth, TX",
"ABI","Abilene, TX","DFW","Dallas/Fort Worth, TX",
"ABI","Abilene, TX","DFW","Dallas/Fort Worth, TX",
"ABI","Abilene, TX","LBB","Lubbock, TX",
"ABI","Abilene, TX","SAT","San Antonio, TX",
"ABI","Abilene, TX","MEM","Memphis, TN",
"ABI","Abilene, TX","IAH","Houston, TX",
"ABL","Ambler, AK","OTZ","Kotzebue, AK",
"ABL","Ambler, AK","OTZ","Kotzebue, AK",
"ABL","Ambler, AK","OBU","Kobuk, AK",
"ABL","Ambler, AK","SHG","Shungnak, AK",
"ABL","Ambler, AK","OTZ","Kotzebue, AK",
"ABL","Ambler, AK","OBU","Kobuk, AK",
"ABL","Ambler, AK","SHG","Shungnak, AK",
"ABL","Ambler, AK","OTZ","Kotzebue, AK",
"ABL","Ambler, AK","WTK","Noatak, AK",
"ABL","Ambler, AK","IAN","Kiana, AK",
"ABQ","Albuquerque, NM","ATL","Atlanta, GA",
"ABQ","Albuquerque, NM","JFK","New York, NY",
"ABQ","Albuquerque, NM","CNM","Carlsbad, NM",
"ABQ","Albuquerque, NM","ONT","Ontario, CA",
"ABQ","Albuquerque, NM","PHX","Phoenix, AZ",
"ABQ","Albuquerque, NM","SDF","Louisville, KY",
"ABQ","Albuquerque, NM","ELP","El Paso, TX",
"ABQ","Albuquerque, NM","ONT","Ontario, CA",
"ABQ","Albuquerque, NM","PHX","Phoenix, AZ",
"ABQ","Albuquerque, NM","MHR","Sacramento, CA",
"ABQ","Albuquerque, NM","SDF","Louisville, KY",
"ABQ","Albuquerque, NM","ELP","El Paso, TX",
"ABQ","Albuquerque, NM","ONT","Ontario, CA",
"ABQ","Albuquerque, NM","OAK","Oakland, CA",
"ABQ","Albuquerque, NM","MSP","Minneapolis, MN",
"ABQ","Albuquerque, NM","PHX","Phoenix, AZ",
"ABQ","Albuquerque, NM","SDF","Louisville, KY",
"ABQ","Albuquerque, NM","PDX","Portland, OR",
"ABQ","Albuquerque, NM","SEA","Seattle, WA",
"ABQ","Albuquerque, NM","SEA","Seattle, WA",
"ABQ","Albuquerque, NM","DEN","Denver, CO",
"ABQ","Albuquerque, NM","LAS","Las Vegas, NV",
"ABQ","Albuquerque, NM","DAL","Dallas, TX",
"ABQ","Albuquerque, NM","PHX","Phoenix, AZ",
"ABQ","Albuquerque, NM","MDW","Chicago, IL",
"ABQ","Albuquerque, NM","ORD","Chicago, IL",
"ABQ","Albuquerque, NM","DFW","Dallas/Fort Worth, TX",
"ABQ","Albuquerque, NM","SVC","Silver City/Hurley, NM",
"ABQ","Albuquerque, NM","DEN","Denver, CO",
"ABQ","Albuquerque, NM","DAL","Dallas, TX",
"ABQ","Albuquerque, NM","PHX","Phoenix, AZ",
"ABQ","Albuquerque, NM","MDW","Chicago, IL",
"ABQ","Albuquerque, NM","SJC","San Jose, CA",
"ABQ","Albuquerque, NM","ORD","Chicago, IL",
"ABQ","Albuquerque, NM","IAH","Houston, TX",
"ABQ","Albuquerque, NM","DFW","Dallas/Fort Worth, TX",
"ABQ","Albuquerque, NM","DFW","Dallas/Fort Worth, TX",
"ABQ","Albuquerque, NM","JFK","New York, NY",
"ABQ","Albuquerque, NM","ORD","Chicago, IL",
"ABQ","Albuquerque, NM","DFW","Dallas/Fort Worth, TX",
"ABQ","Albuquerque, NM","SMF","Sacramento, CA",
"ABQ","Albuquerque, NM","DFW","Dallas/Fort Worth, TX",
"ABQ","Albuquerque, NM","DRO","Durango, CO",
"ABQ","Albuquerque, NM","FMN","Farmington, NM",
"ABQ","Albuquerque, NM","DEN","Denver, CO",
"ABQ","Albuquerque, NM","SAT","San Antonio, TX",
"ABQ","Albuquerque, NM","MEM","Memphis, TN",
"ABQ","Albuquerque, NM","DFW","Dallas/Fort Worth, TX",
"ABQ","Albuquerque, NM","DRO","Durango, CO",
"ABQ","Albuquerque, NM","FMN","Farmington, NM",
"ABQ","Albuquerque, NM","ELP","El Paso, TX",
"ABQ","Albuquerque, NM","LBB","Lubbock, TX",
"ABQ","Albuquerque, NM","MEM","Memphis, TN",
"ABQ","Albuquerque, NM","LAS","Las Vegas, NV",
"ABQ","Albuquerque, NM","LAS","Las Vegas, NV",
"ABQ","Albuquerque, NM","DEN","Denver, CO",
"ABQ","Albuquerque, NM","SLC","Salt Lake City, UT",
"ABQ","Albuquerque, NM","LAX","Los Angeles, CA",
"ABQ","Albuquerque, NM","SFO","San Francisco, CA",
"ABQ","Albuquerque, NM","SLC","Salt Lake City, UT",
"ABQ","Albuquerque, NM","PIR","Pierre, SD",
"ABQ","Albuquerque, NM","IAH","Houston, TX",
"ABQ","Albuquerque, NM","DEN","Denver, CO",
"ABQ","Albuquerque, NM","DEN","Denver, CO",
"ABQ","Albuquerque, NM","DFW","Dallas/Fort Worth, TX",
"ABQ","Albuquerque, NM","PHX","Phoenix, AZ",
"ABQ","Albuquerque, NM","COS","Colorado Springs, CO",
"ABQ","Albuquerque, NM","BUR","Burbank, CA",
"ABQ","Albuquerque, NM","DEN","Denver, CO",
"ABR","Aberdeen, SD","HSV","Huntsville, AL",
"ABR","Aberdeen, SD","MSP","Minneapolis, MN",
"ABR","Aberdeen, SD","IFP","Bullhead City, AZ",
"ABR","Aberdeen, SD","FSD","Sioux Falls, SD",
"ABR","Aberdeen, SD","MSP","Minneapolis, MN",
"ABR","Aberdeen, SD","MSP","Minneapolis, MN",
"ABY","Albany, GA","ATL","Atlanta, GA",
"ABY","Albany, GA","MIA","Miami, FL",
"ABY","Albany, GA","SDF","Louisville, KY",
"ABY","Albany, GA","PNS","Pensacola, FL",
"ABY","Albany, GA","MSY","New Orleans, LA",
"ABY","Albany, GA","SDF","Louisville, KY",
"ABY","Albany, GA","PNS","Pensacola, FL",
"ACK","Nantucket, MA","JFK","New York, NY",
"ACK","Nantucket, MA","HPN","White Plains, NY",
"ACK","Nantucket, MA","HTO","East Hampton, NY",
"ACK","Nantucket, MA","MMU","Morristown, NJ",
"ACK","Nantucket, MA","CHO","Charlottesville, VA",
"ACK","Nantucket, MA","LGA","New York, NY",
"ACK","Nantucket, MA","FRG","East Farmingdale, NY",
"ACK","Nantucket, MA","HPN","White Plains, NY",
"ACK","Nantucket, MA","BOS","Boston, MA",
"ACK","Nantucket, MA","BBX","Blue Bell, PA",
"ACK","Nantucket, MA","CGS","College Park, MD",
"ACK","Nantucket, MA","TEB","Teterboro, NJ",
"ACK","Nantucket, MA","CT1","Plainville, CT",
"ACK","Nantucket, MA","VWK","Saratoga Springs, NY",
"ACK","Nantucket, MA","BDR","Bridgeport, CT",
"ACK","Nantucket, MA","EWB","New Bedford/Fall River, MA",
"ACK","Nantucket, MA","HYA","Hyannis, MA",
"ACK","Nantucket, MA","HPN","White Plains, NY",
"ACK","Nantucket, MA","BOS","Boston, MA",
"ACK","Nantucket, MA","MVY","Martha's Vineyard, MA",
"ACK","Nantucket, MA","JFK","New York, NY",
"ACK","Nantucket, MA","HYA","Hyannis, MA",
"ACK","Nantucket, MA","OWD","Norwood, MA",
"ACK","Nantucket, MA","EWB","New Bedford/Fall River, MA",
"ACK","Nantucket, MA","HYA","Hyannis, MA",
"ACK","Nantucket, MA","PVD","Providence, RI",
"ACK","Nantucket, MA","PVD","Providence, RI",
"ACK","Nantucket, MA","MVY","Martha's Vineyard, MA",
"ACT","Waco, TX","HOU","Houston, TX",
"ACT","Waco, TX","DFW","Dallas/Fort Worth, TX",
"ACT","Waco, TX","DFW","Dallas/Fort Worth, TX",
"ACT","Waco, TX","DFW","Dallas/Fort Worth, TX",
"ACT","Waco, TX","CKB","Clarksburg/Fairmont, WV",
"ACV","Arcata/Eureka, CA","SMF","Sacramento, CA",
"ACV","Arcata/Eureka, CA","UKI","Ukiah, CA",
"ACV","Arcata/Eureka, CA","LAX","Los Angeles, CA",
"ACV","Arcata/Eureka, CA","SFO","San Francisco, CA",
"ACV","Arcata/Eureka, CA","DEN","Denver, CO",
"ACV","Arcata/Eureka, CA","SFO","San Francisco, CA",
"ACY","Atlantic City, NJ","FRG","East Farmingdale, NY",
"ACY","Atlantic City, NJ","TPA","Tampa, FL",
"ACY","Atlantic City, NJ","MYR","Myrtle Beach, SC",
"ACY","Atlantic City, NJ","FLL","Fort Lauderdale, FL",
"ACY","Atlantic City, NJ","MCO","Orlando, FL",
"ACY","Atlantic City, NJ","TPA","Tampa, FL",
"ACY","Atlantic City, NJ","FLL","Fort Lauderdale, FL",
"ACY","Atlantic City, NJ","RSW","Fort Myers, FL",
"ACY","Atlantic City, NJ","MCO","Orlando, FL",
"ACY","Atlantic City, NJ","CLE","Cleveland, OH",
"ACY","Atlantic City, NJ","DTW","Detroit, MI",
"ACY","Atlantic City, NJ","CVG","Cincinnati, OH",
"ACY","Atlantic City, NJ","BUF","Buffalo, NY",
"ACY","Atlantic City, NJ","GPT","Gulfport/Biloxi, MS",
"ACY","Atlantic City, NJ","CMH","Columbus, OH",
"ACY","Atlantic City, NJ","ABE","Allentown/Bethlehem/Easton, PA",
"ACY","Atlantic City, NJ","LBE","Latrobe, PA",
"ACY","Atlantic City, NJ","CEF","Chicopee Falls, MA",
"ACY","Atlantic City, NJ","PHL","Philadelphia, PA",
"ACY","Atlantic City, NJ","PIE","St. Petersburg, FL",
"ACY","Atlantic City, NJ","BOS","Boston, MA",
"ACY","Atlantic City, NJ","MHT","Manchester, NH",
"ACY","Atlantic City, NJ","RIC","Richmond, VA",
"ACY","Atlantic City, NJ","ROC","Rochester, NY",
"ADK","Adak Island, AK","CDB","Cold Bay, AK",
"ADK","Adak Island, AK","ANC","Anchorage, AK",
"ADK","Adak Island, AK","ANC","Anchorage, AK",
"ADQ","Kodiak, AK","ANC","Anchorage, AK",
"ADQ","Kodiak, AK","ANC","Anchorage, AK",
"ADQ","Kodiak, AK","ANC","Anchorage, AK",
"ADQ","Kodiak, AK","ANC","Anchorage, AK",
"ADQ","Kodiak, AK","ANC","Anchorage, AK",
"ADQ","Kodiak, AK","ANC","Anchorage, AK",
"ADQ","Kodiak, AK","OLH","Old Harbor, AK",
"ADQ","Kodiak, AK","ORI","Port Lions, AK",
"ADQ","Kodiak, AK","KLN","Larsen Bay, AK",
"ADQ","Kodiak, AK","KOZ","Ouzinkie, AK",
"ADQ","Kodiak, AK","KYK","Karluk, AK",
"ADQ","Kodiak, AK","AKK","Akhiok, AK",
"ADQ","Kodiak, AK","OLH","Old Harbor, AK",
"ADQ","Kodiak, AK","ORI","Port Lions, AK",
"ADQ","Kodiak, AK","KLN","Larsen Bay, AK",
"ADQ","Kodiak, AK","KOZ","Ouzinkie, AK",
"ADQ","Kodiak, AK","KYK","Karluk, AK",
"ADQ","Kodiak, AK","AKK","Akhiok, AK",
"ADQ","Kodiak, AK","ORI","Port Lions, AK",
"ADQ","Kodiak, AK","OLH","Old Harbor, AK",
"ADQ","Kodiak, AK","ORI","Port Lions, AK",
"ADQ","Kodiak, AK","KLN","Larsen Bay, AK",
"ADQ","Kodiak, AK","KOZ","Ouzinkie, AK",
"ADQ","Kodiak, AK","09A","Homer, AK",
"ADQ","Kodiak, AK","AKK","Akhiok, AK",
"ADQ","Kodiak, AK","DLG","Dillingham, AK",
"ADQ","Kodiak, AK","ADQ","Kodiak, AK",
"ADQ","Kodiak, AK","OLH","Old Harbor, AK",
"ADQ","Kodiak, AK","ORI","Port Lions, AK",
"ADQ","Kodiak, AK","DGB","Danger Bay, AK",
"ADQ","Kodiak, AK","KLN","Larsen Bay, AK",
"ADQ","Kodiak, AK","KOZ","Ouzinkie, AK",
"ADQ","Kodiak, AK","KYK","Karluk, AK",
"ADQ","Kodiak, AK","09A","Homer, AK",
"ADQ","Kodiak, AK","AKK","Akhiok, AK",
"ADQ","Kodiak, AK","SKJ","Sitkinak, AK",
"ADQ","Kodiak, AK","ANC","Anchorage, AK",
"ADQ","Kodiak, AK","AKK","Akhiok, AK",
"ADS","Dallas, TX","CLL","College Station/Bryan, TX",
"ADS","Dallas, TX","GSO","Greensboro/High Point, NC",
"ADS","Dallas, TX","LRD","Laredo, TX",
"ADS","Dallas, TX","CNO","Chino, CA",
"ADS","Dallas, TX","RSN","Ruston, LA",
"ADS","Dallas, TX","SD2","Gregory, SD",
"ADS","Dallas, TX","SGR","Sugar Land, TX",
"ADS","Dallas, TX","T4X","Llano, TX",
"ADS","Dallas, TX","TUL","Tulsa, OK",
"ADS","Dallas, TX","C01","Camarillo, CA",
"AET","Allakaket, AK","FAI","Fairbanks, AK",
"AET","Allakaket, AK","AKP","Anaktuvuk Pass, AK",
"AET","Allakaket, AK","NUI","Nuiqsut, AK",
"AET","Allakaket, AK","HUS","Hughes, AK",
"AET","Allakaket, AK","BTT","Bettles, AK",
"AET","Allakaket, AK","FAI","Fairbanks, AK",
"AET","Allakaket, AK","FAI","Fairbanks, AK",
"AET","Allakaket, AK","BTT","Bettles, AK",
"AET","Allakaket, AK","FAI","Fairbanks, AK",
"AEX","Alexandria, LA","ATL","Atlanta, GA",
"AEX","Alexandria, LA","ATL","Atlanta, GA",
"AEX","Alexandria, LA","DFW","Dallas/Fort Worth, TX",
"AEX","Alexandria, LA","DFW","Dallas/Fort Worth, TX",
"AEX","Alexandria, LA","IAH","Houston, TX",
"AEX","Alexandria, LA","BRO","Brownsville, TX",
"AEX","Alexandria, LA","MIA","Miami, FL",
"AEX","Alexandria, LA","GPT","Gulfport/Biloxi, MS",
"AEX","Alexandria, LA","PSM","Portsmouth, NH",
"AEX","Alexandria, LA","BRO","Brownsville, TX",
"AEX","Alexandria, LA","MDT","Harrisburg, PA",
"AEX","Alexandria, LA","PGV","Greenville, NC",
"AEX","Alexandria, LA","DAL","Dallas, TX",
"AEX","Alexandria, LA","BUF","Buffalo, NY",
"AEX","Alexandria, LA","MIA","Miami, FL",
"AEX","Alexandria, LA","SAT","San Antonio, TX",
"AEX","Alexandria, LA","AEX","Alexandria, LA",
"AEX","Alexandria, LA","PSM","Portsmouth, NH",
"AEX","Alexandria, LA","BRO","Brownsville, TX",
"AEX","Alexandria, LA","MDT","Harrisburg, PA",
"AEX","Alexandria, LA","AZA","Phoenix, AZ",
"AEX","Alexandria, LA","MSP","Minneapolis, MN",
"AFW","Dallas/Fort Worth, TX","QMA","Kennesaw, GA",
"AFW","Dallas/Fort Worth, TX","TOL","Toledo, OH",
"AFW","Dallas/Fort Worth, TX","LRD","Laredo, TX",
"AFW","Dallas/Fort Worth, TX","LAL","Lakeland, FL",
"AFW","Dallas/Fort Worth, TX","ILN","Wilmington, OH",
"AFW","Dallas/Fort Worth, TX","PHX","Phoenix, AZ",
"AFW","Dallas/Fort Worth, TX","SFO","San Francisco, CA",
"AFW","Dallas/Fort Worth, TX","JFK","New York, NY",
"AFW","Dallas/Fort Worth, TX","CVG","Cincinnati, OH",
"AFW","Dallas/Fort Worth, TX","ONT","Ontario, CA",
"AFW","Dallas/Fort Worth, TX","ABE","Allentown/Bethlehem/Easton, PA",
"AFW","Dallas/Fort Worth, TX","MSP","Minneapolis, MN",
"AFW","Dallas/Fort Worth, TX","SEA","Seattle, WA",
"AFW","Dallas/Fort Worth, TX","ILN","Wilmington, OH",
"AFW","Dallas/Fort Worth, TX","PHX","Phoenix, AZ",
"AFW","Dallas/Fort Worth, TX","SFO","San Francisco, CA",
"AFW","Dallas/Fort Worth, TX","JFK","New York, NY",
"AFW","Dallas/Fort Worth, TX","RIC","Richmond, VA",
"AFW","Dallas/Fort Worth, TX","ILN","Wilmington, OH",
"AFW","Dallas/Fort Worth, TX","YIP","Detroit, MI",
"AFW","Dallas/Fort Worth, TX","IAH","Houston, TX",
"AFW","Dallas/Fort Worth, TX","IAD","Washington, DC",
"AFW","Dallas/Fort Worth, TX","IAH","Houston, TX",
"AFW","Dallas/Fort Worth, TX","BFI","Seattle, WA",
"AFW","Dallas/Fort Worth, TX","YIP","Detroit, MI",
"AFW","Dallas/Fort Worth, TX","HSV","Huntsville, AL",
"AFW","Dallas/Fort Worth, TX","LRD","Laredo, TX",
"AFW","Dallas/Fort Worth, TX","YIP","Detroit, MI",
"AFW","Dallas/Fort Worth, TX","CHA","Chattanooga, TN",
"AFW","Dallas/Fort Worth, TX","MAF","Midland/Odessa, TX",
"AFW","Dallas/Fort Worth, TX","TUL","Tulsa, OK",
"AFW","Dallas/Fort Worth, TX","LBB","Lubbock, TX",
"AFW","Dallas/Fort Worth, TX","MAF","Midland/Odessa, TX",
"AFW","Dallas/Fort Worth, TX","MSY","New Orleans, LA",
"AFW","Dallas/Fort Worth, TX","TUL","Tulsa, OK",
"AFW","Dallas/Fort Worth, TX","ORD","Chicago, IL",
"AFW","Dallas/Fort Worth, TX","IAH","Houston, TX",
"AFW","Dallas/Fort Worth, TX","LBB","Lubbock, TX",
"AFW","Dallas/Fort Worth, TX","AUS","Austin, TX",
"AFW","Dallas/Fort Worth, TX","ONT","Ontario, CA",
"AFW","Dallas/Fort Worth, TX","GSO","Greensboro/High Point, NC",
"AFW","Dallas/Fort Worth, TX","DEN","Denver, CO",
"AFW","Dallas/Fort Worth, TX","SLC","Salt Lake City, UT",
"AFW","Dallas/Fort Worth, TX","SAN","San Diego, CA",
"AFW","Dallas/Fort Worth, TX","MSP","Minneapolis, MN",
"AFW","Dallas/Fort Worth, TX","RNO","Reno, NV",
"AFW","Dallas/Fort Worth, TX","LBB","Lubbock, TX",
"AFW","Dallas/Fort Worth, TX","MSY","New Orleans, LA",
"AFW","Dallas/Fort Worth, TX","MCI","Kansas City, MO",
"AFW","Dallas/Fort Worth, TX","SAT","San Antonio, TX",
"AFW","Dallas/Fort Worth, TX","ELP","El Paso, TX",
"AFW","Dallas/Fort Worth, TX","DEN","Denver, CO",
"AFW","Dallas/Fort Worth, TX","OAK","Oakland, CA",
"AFW","Dallas/Fort Worth, TX","MEM","Memphis, TN",
"AFW","Dallas/Fort Worth, TX","SJC","San Jose, CA",
"AFW","Dallas/Fort Worth, TX","BUR","Burbank, CA",
"AFW","Dallas/Fort Worth, TX","LAX","Los Angeles, CA",
"AFW","Dallas/Fort Worth, TX","LBB","Lubbock, TX",
"AFW","Dallas/Fort Worth, TX","MAF","Midland/Odessa, TX",
"AFW","Dallas/Fort Worth, TX","MSY","New Orleans, LA",
"AFW","Dallas/Fort Worth, TX","TUL","Tulsa, OK",
"AFW","Dallas/Fort Worth, TX","SHV","Shreveport, LA",
"AFW","Dallas/Fort Worth, TX","LAX","Los Angeles, CA",
"AFW","Dallas/Fort Worth, TX","USA","Concord, NC",
"AFW","Dallas/Fort Worth, TX","BNA","Nashville, TN",
"AFW","Dallas/Fort Worth, TX","PIB","Hattiesburg/Laurel, MS",
"AFW","Dallas/Fort Worth, TX","CVG","Cincinnati, OH",
"AFW","Dallas/Fort Worth, TX","ATL","Atlanta, GA",
"AGC","Pittsburgh, PA","BIS","Bismarck/Mandan, ND",
"AGC","Pittsburgh, PA","AGC","Pittsburgh, PA",
"AGC","Pittsburgh, PA","GFL","Glens Falls, NY",
"AGC","Pittsburgh, PA","HPN","White Plains, NY",
"AGC","Pittsburgh, PA","TEB","Teterboro, NJ",
"AGN","Angoon, AK","JNU","Juneau, AK",
"AGN","Angoon, AK","SIT","Sitka, AK",
"AGN","Angoon, AK","JNU","Juneau, AK",
"AGN","Angoon, AK","TKE","Tenakee, AK",
"AGN","Angoon, AK","JNU","Juneau, AK",
"AGN","Angoon, AK","TKE","Tenakee, AK",
"AGN","Angoon, AK","JNU","Juneau, AK",
"AGN","Angoon, AK","SIT","Sitka, AK",
"AGS","Augusta, GA","ATL","Atlanta, GA",
"AGS","Augusta, GA","ATL","Atlanta, GA",
"AGS","Augusta, GA","DFW","Dallas/Fort Worth, TX",
"AGS","Augusta, GA","CLT","Charlotte, NC",
"AGS","Augusta, GA","CLT","Charlotte, NC",
"AGS","Augusta, GA","HPN","White Plains, NY",
"AGS","Augusta, GA","PBI","West Palm Beach/Palm Beach, FL",
"AGS","Augusta, GA","GPT","Gulfport/Biloxi, MS",
"AGS","Augusta, GA","CLT","Charlotte, NC",
"AGS","Augusta, GA","BDL","Hartford, CT",
"AHN","Athens, GA","DLS","The Dalles, OR",
"AHN","Athens, GA","ATL","Atlanta, GA",
"AHN","Athens, GA","BHM","Birmingham, AL",
"AHN","Athens, GA","SDF","Louisville, KY",
"AHN","Athens, GA","SDF","Louisville, KY",
"AHN","Athens, GA","YIP","Detroit, MI",
"AHN","Athens, GA","TYS","Knoxville, TN",
"AHN","Athens, GA","LEX","Lexington, KY",
"AHN","Athens, GA","CLE","Cleveland, OH",
"AIA","Alliance, NE","DEN","Denver, CO",
"AIN","Wainwright, AK","ATK","Atqasuk, AK",
"AIN","Wainwright, AK","PIZ","Point Lay, AK",
"AIN","Wainwright, AK","PIZ","Point Lay, AK",
"AIN","Wainwright, AK","AKP","Anaktuvuk Pass, AK",
"AIN","Wainwright, AK","SCC","Deadhorse, AK",
"AIN","Wainwright, AK","ATK","Atqasuk, AK",
"AIN","Wainwright, AK","BRW","Barrow, AK",
"AIN","Wainwright, AK","BRW","Barrow, AK",
"AKB","Atka, AK","SDP","Sandpoint, AK",
"AKB","Atka, AK","SDP","Sandpoint, AK",
"AKB","Atka, AK","DUT","Unalaska, AK",
"AKI","Akiak, AK","BET","Bethel, AK",
"AKI","Akiak, AK","ANC","Anchorage, AK",
"AKI","Akiak, AK","KKI","Akiachak, AK",
"AKI","Akiak, AK","BET","Bethel, AK",
"AKI","Akiak, AK","BET","Bethel, AK",
"AKI","Akiak, AK","HCR","Holy Cross, AK",
"AKI","Akiak, AK","KKI","Akiachak, AK",
"AKI","Akiak, AK","KLG","Kalskag, AK",
"AKI","Akiak, AK","KWT","Kwethluk, AK",
"AKI","Akiak, AK","TLT","Tuluksak, AK",
"AKI","Akiak, AK","WNA","Napakiak, AK",
"AKI","Akiak, AK","BET","Bethel, AK",
"AKI","Akiak, AK","CHU","Chuathbaluk, AK",
"AKI","Akiak, AK","TLT","Tuluksak, AK",
